filename,construction_type,reason
리모델링 안전보건작업 기술지침.pdf,기타,리모델링은 다양한 공종이 포함될 수 있어 기타로 분류했습니다.
이동식 비계 설치 및 사용안전 기술지침.pdf,가설공사,이동식 비계는 가설공사의 일환으로 사용되기 때문에 관련성이 높습니다.
수직형 추락방망 설치 기술지침.pdf,가설공사,추락방망은 가설공사에서 안전을 위한 장치로 사용되므로 관련성이 있습니다.
교량공사의 이동식 비계공법(MSS) 안전작업 지침.pdf,교량공사,교량공사와 관련된 이동식 비계공법에 대한 지침이므로 직접적인 관련이 있습니다.
트러스거더 교량공사 안전보건작업지침.pdf,교량공사,"트러스거더는 교량의 주요 구조물로, 관련된 안전보건 작업 지침입니다."
흙막이공사(C.I.P공법) 안전보건작업 지침.pdf,토공사,흙막이공사는 토공사와 밀접한 관련이 있어 해당 공종으로 분류했습니다.
굴착기 안전보건작업 지침.pdf,토공사,굴착기는 주로 토공사에서 사용되므로 관련성이 높습니다.
"흙막이공사(강널말뚝, Sheet Pile)의 안전보건작업지침.pdf",토공사,강널말뚝과 Sheet Pile은 토공사에서 사용되는 기법으로 관련성이 있습니다.
흙막이공사(엄지말뚝 공법) 안전보건작업 지침.pdf,토공사,엄지말뚝 공법은 토공사에서 사용되는 방법으로 관련성이 높습니다.
철탑공사 안전보건기술지침.pdf,기계설비공사,"철탑은 주로 기계설비와 관련된 구조물로, 해당 공종으로 분류했습니다."
작업의자형 달비계 안전작업 지침.pdf,가설공사,"달비계는 가설구조물로, 안전작업 지침이 가설공사와 관련이 깊습니다."
발파공사 안전보건작업 지침.pdf,터널공사,"발파공사는 주로 터널공사에서 사용되며, 안전보건 지침이 필수적입니다."
타일(Tile) 공사 안전보건작업 지침.pdf,타일 및 돌공사,타일 공사는 타일 및 돌공사와 직접적으로 관련이 있습니다.
굴착공사 계측관리 기술지침.pdf,토공사,"굴착공사는 토공사에 해당하며, 계측관리는 안전과 관련이 있습니다."
중소규모 건설업체 본사의 안전보건관리에 관한 지침.pdf,기타,중소규모 건설업체의 안전보건 관리에 대한 일반적인 지침으로 특정 공종과는 관련이 적습니다.
관로매설공사(유압식 추진공법) 안전보건작업 지침.pdf,관공사,"관로매설공사는 관공사에 해당하며, 안전작업 지침이 필요합니다."
지붕공사 안전보건작업 기술지침.pdf,지붕 및 홈통공사,지붕공사는 지붕 및 홈통공사와 직접적으로 관련이 있습니다.
흙막이공사 (SCW 공법) 안전보건작업지침.pdf,토공사,"흙막이공사는 토공사와 관련이 있으며, 안전작업 지침이 중요합니다."
